state_name,Non-grad,High-School-Grad
Connecticut,25926,37365
Alaska,26100,36386
Massachusetts,28479,37929
New Jersey,26118,35468
West Virginia,21681,30727
Maryland,28423,37045
New York,24652,33263
Wyoming,27406,35417
Louisiana,23191,31111
Kentucky,23105,30986
Ohio,24237,32046
Michigan,23129,30900
Washington,29047,36702
Alabama,23001,30545
South Carolina,22277,29819
Rhode Island,28970,36472
New Hampshire,30578,37919
California,25253,32560
Minnesota,27458,34586
Mississippi,21638,28512
Virginia,26070,32819
Delaware,27279,34023
Tennessee,23955,30517
Pennsylvania,26296,32856
New Mexico,21428,27893
Hawaii,28883,35311
Indiana,26230,32629
Arizona,24791,31185
Texas,24886,31204
Missouri,25089,31391
North Carolina,23842,30106
Illinois ,26397,32612
Florida,22932,29014
Georgia,24855,30927
Maine,25363,31398
Oklahoma,25084,31100
North Dakota,30834,36719
Colorado,29258,35143
Montana,24029,29874
Wisconsin,28265,33769
Utah,28511,33905
Oregon,26426,31685
South Dakota,26760,31896
Vermont,29020,34153
Arkansas,25068,30142
District of Columbia,26557,31504
Kansas,26813,31702
Nevada,28422,32823
Idaho,26630,31007
Nebraska,28150,32260
Iowa,30147,33483
